Date of List,Rank,Title,Author,Pub City,Publisher,Fict/Non/Int,Series,Hardback/paperback,,,,,,,,,,,
26-Nov-93,1,Ne zagoniaite d ugol prokurora,"Vysotskii, S.",Moscow,Golos,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,2,"""Gospodi … Spasi I usmiri Rossiiu"" Nikolai II: Zhizn' i smert'","Radzinskii, Edvard",Moscow,Vagrius,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,3,"Oi, Semenovna!","Starshinov, N.",Moscow,Baikal'skaia akademiia,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,4,Konets sveta,"Sheldon, S.",Moscow,Novosti,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,5,Tvin piks,"Linch, Dzhennifer i Frost, Skott",Rostov-na-Donu,Germes and Vagrius,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,6,Kerri,"King, S.",Moscow,"Ogonek and TOO ""C Ziablov i syn""",Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,7,Akvarium,"Suvorov, Vikro",Moscow,Novoe vremia,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,8,Kholodnyi ogon',"Kunts, D.",Moscow,Novosti,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,9,Armageddon,"King, S.",Zhukovskii,Kedmen,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,10,Simvol very tret'ego tysiacheletiia,"Makkalou, Kolin",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,1,Kratkii anglo-russkii i russko-angliiskii slovar' ugolovnogo zhargona,"Dubinnin, I., Teplitskii, E.",Moscow,Terra,Nekhudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,2,Platon. Aristotel'. ZhZL,"Losev, A.F., Takho-Godi, A.A.",Moscow,Molodaia gvardia,Nekhudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,3,Denezhnye znaki zarubezhnykh stran,not listed,Moscow,Molodaia gvardia,Nekhudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
26-Nov-93,4,Lekarstvennye preparaty i ikh primenenie,not listed,Moscow,Klën,Nekhudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
